Link,Tiêu đề,Địa chỉ,Loại hình,Mức giá,Giá/m²,Số phòng ngủ,Quận,Diện tích,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số toilet,Pháp lý,Latitude,Longitude,Tỉnh/Thành
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-thuan-tay-1-prj-eco-green-sai-gon/ban-2pn-1wc-52m2-gia-2-820-ty-bao-thue-phi-5-so-noi-that-cdt-du-an-gon-pr37279560,"Bán căn Eco Green 1PN-2PN-3PN từ 3,9ỷ, bao thuế phí sổ hồng có sẵn vay lãi suất từ 5% 0706 679 ***","Dự án Eco Green Sài Gòn, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",Căn hộ chung cư,"4,2 tỷ","~62,69 triệu/m²",2 phòng,Quận 7,67 m²,,,,,,,,10.7503509521484,106.723175048828,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/chuyen-gia-re-nhat-thi-truong-tro-vay-80-lh-0936-721-723-mr-ai-pr34061984,"Căn hộ Masteri Thảo Điền giá rẻ nhất thị trường, hỗ trợ vay 80%. LH 0936 721 *** Mr. Hoài","Dự án Masteri Thảo Điền, Đường Xa Lộ Hà Nội, Phường Thảo Điền, Quận 2, Hồ Chí Minh",Căn hộ,"6,75 tỷ","~92,34 triệu/m²",2 phòng,,"73,1 m²",,,,,,,Sổ đỏ/ Sổ hồng,10.8021722579092,106.741949900775
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-binh-3-prj-the-beverly-solari-vinhomes-grand-park/ban-gap-3pn-vinmes-q9-view-song-tang-mat-gia-2-7-ty-pr42818062,"Bán gấp căn hộ 3PN Vinhomes Grand Park Q9 view sông thoáng mát 2,7 Tý","Dự án The Beverly Solari - Vinhomes Grand Park, Phường Long Bình, Quận 9, Hồ Chí Minh",Căn hộ,Thỏa thuận,,3 phòng,Quận 9,85 m²,,,,,,,,10.8436074170537,106.846231604412,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-dat-duong-long-phuoc-phuong-long-phuoc-2/ban-1000m2-vuon-biet-thu-nhua-6m-thu-duc-gia-chi-18-ty-pr43060717,"Bán 1000m2 đất vườn biệt thự, đường nhựa 6m, Long Phước, Thủ Đức giá chỉ 18 tỷ","Đường Long Phước, Phường Long Phước, Quận 9, Hồ Chí Minh",Biệt thự,18 tỷ,~18 triệu/m²,,Quận 9,1.000 m²,17 m,6 m,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,10.8073073426314,106.859070744971,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-dat-duong-linh-dong-phuong-linh-dong/ban-nha-mat-tien-kinh-doanh-dang-cho-thue-40-trieu-thang-chieu-ngang-10m-pr42852506,"Bán đất mặt tiền kinh doanh, đường Linh Đông, đang cho thuê 40 triệu/tháng. Chiều ngang 10m","Đường Linh Đông, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",Đất,39 tỷ,"~108,33 triệu/m²",2 phòng,Thủ Đức,360 m²,10 m,15 m,Đông,Đông,1 tầng,,Sổ đỏ/ Sổ hồng.,10.8492306060369,106.746941515842,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-2-phuong-truong-tho-2/ban-tien-kinh-doanh-2-thon-thu-duc-20m-gia-chi-7-5-ty-pr43016678,"Bán nhà mặt tiền kinh doanh đường số 2, Trường Thọ, Thủ Đức, đường 20m, giá chỉ 7,5 tỷ","Đường Số 2, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",Nhà mặt phố,"7,5 tỷ",~150 triệu/m²,2 phòng,Thủ Đức,50 m²,"4,4 m",20 m,Đông - Bắc,Đông - Bắc,3 tầng,,Sổ đỏ/ Sổ hồng.,10.8351197098053,106.753793046826,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-dat-duong-so-27-phuong-hiep-binh-chanh/ban-biet-thu-200m2-khu-ben-song-thu-duc-gia-re-pr43021501,"Bán đất biệt thự 200m2, khu bên sông, Hiệp Bình Chánh, Thủ Đức giá rẻ","Đường Số 27, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",Biệt thự,"16,5 tỷ","~82,5 triệu/m²",,Thủ Đức,200 m²,"9,5 m",15 m,Tây - Nam,,,,Sổ đỏ/ Sổ hồng.,10.8325805093905,106.732289416061,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-thuan-tay-1-prj-eco-green-sai-gon/ban-nhanh-goc-2pn2wc-64m2-ban-cong-view-quan-1-tai-gia-chi-4-905-ty-pr43104311,"Bán nhanh căn góc 2PN 2WC 64m2 ban công view Quận 1 tại Eco Green Sài Gòn, giá chỉ 4,905 tỷ","Eco Green Sài Gòn, Nguyễn Văn Linh, Tân Thuận Tây, Quận 7, Hồ Chí Minh",Căn hộ chung cư,"4,91 tỷ","~76,28 triệu/m²",2 phòng,Quận 7,"64,3 m²",,,Nam,Bắc,,,HĐMB,10.7507795103531,106.723630502028,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/ban-1pn-2pn-3pn-sai-gon-riverside-pr33886563,"Q7 Riverside mới lắm 2PN 3.05 tỷ giá có thuế phí, nhà rất mới căn này rất mát LH: 0902 651 ***","Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Căn hộ chung cư,"3,05 tỷ","~45,76 triệu/m²",2 phòng,Quận 7,"66,66 m²",,,,,,,HĐMB,10.7180337905884,106.742393493652,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-tu-xuong-phuong-vo-thi-sau/-tai-quan-3-ho-chi-minh-gia-cuc-chat-92-ty-125-m2-pr43219813,"Nhà riêng tại đường Tú Xương, Quận 3, Hồ Chí Minh, 7mx20m giá cực chất 92 tỷ, 119,3m2","Đường Tú Xương, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",Nhà riêng,92 tỷ,"~771,16 triệu/m²",8 phòng,Quận 3,"119,3 m²",,20 m,,,4 tầng,,Sổ đỏ/ Sổ hồng.,10.7804649221356,106.686257124105,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-vo-chi-cong-phuong-phu-huu-2-prj-mega-village/chinh-chu-ban-can-tho-5x15m-gia-tot-t-trong-khu-goi-ngay-o982667473-pr33906590,Chính chủ bán nhà phố Mega Village 5x15m. Không đối nhà. Sổ hồng riêng. Gọi 0982 667 *** Mr Phan Điền,"Dự án Mega Village, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",Biệt thự/Liền kề,8 tỷ,"~106,67 triệu/m²",3 phòng,Quận 9,75 m²,5 m,20 m,Tây - Bắc,Tây - Bắc,3 tầng,,Sổ đỏ/ Sổ hồng,10.7847099304199,106.79044342041,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-nha-rieng-duong-160-phuong-tang-nhon-phu-a/bn-gp-3-dep-lung-linh-ngy-trung-tm-80m2-gi-7-ty-pr43179344,"Bán gấp nhà 3 tầng đẹp lung linh ngay trung tâm Tăng Nhơn Phú A, 72.1m2 giá 7 tỷ","Đường 160, Phường Tăng Nhơn Phú A, Quận 9, Hồ Chí Minh",Nhà riêng,7 tỷ,"~97,09 triệu/m²",4 phòng,Quận 9,"72,1 m²",,,,,3 tầng,,Sổ đỏ/ Sổ hồng,10.8376424483315,106.790499122963,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/gia-re-n-thi-truong-300tr-tong-p-tai-lh-tieu-hien-pr42826413,Giá rẻ hơn thị trường 300tr tổng hợp căn hộ tại Masteri Thảo Điền. LH: 0903 037 *** Tiểu Hiền,"Masteri Thảo Điền, Xa Lộ Hà Nội, Thảo Điền, Quận 2, Hồ Chí Minh",Căn hộ,Thỏa thuận,,2 phòng,Quận 2,75 m²,,,,,,,Sổ đỏ/ Sổ hồng,10.803073574686685,106.74138177237228,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/chinh-chu-ban-nhanh-ch-tang-cao-2pn-2wc-view-song-thoang-mat-chi-2t2-lh-0931877334-pr33149960,"Chính chủ bán CH Q7 Riverside tầng cao 3PN 2WC giá 4,05 tỷ. Thiện chí thương lượng. LH 0704 589 ***","Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",Căn hộ chung cư,"4,05 tỷ","~47,65 triệu/m²",3 phòng,Quận 7,85 m²,,,,,,,Sổ đỏ/ Sổ hồng,10.7180337905884,106.742393493652,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-8-2-phuong-11-8/ban-san-vuon-cao-cap-co-ho-boi-thang-may-go-vap-p-11-dien-tich-khung-260m-chi-23-5-ty-pr43282411,"Bán biệt thự sân vườn cao cấp có hồ bơi, thang máy Gò Vấp, P.11 diện tích khủng 258.4m2, chỉ 23,5tỷ","Đường 8, Phường 11, Gò Vấp, Hồ Chí Minh",Biệt thự,"23,5 tỷ","~90,94 triệu/m²",6 phòng,,"258,4 m²","8,2 m",20 m,Đông - Bắc,Đông - Bắc,4 tầng,,Sổ đỏ/ Sổ hồng.,10.8448413108443,106.660606167149,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-thanh-my-prj-vinhomes-grand-park/-2pn-61-5m-gia-chi-2-8-ty-chiet-khau-28-toan-gian-180-ngay-the-origami-vgp-pr43301916,CĂN 2PN 61.5m² GIÁ CHỈ 2.8 TỶ - CHIẾT KHẤU 28% THANH TOÁN GIÃN 180 NGÀY THE ORIGAMI VGP,"Vinhomes Grand Park, Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Căn hộ chung cư,"2,8 tỷ","~45,53 triệu/m²",2 phòng,Quận 9,"61,5 m²",,,,,,,,10.841429070635398,106.84010636658856,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-huynh-ba-chanh-xa-tan-kien-prj-conic-boulevard/-lien-ke-vo-van-kiet-chi-tt-400tr-nhan-nha-gia-cdt-ck-17-tang-nt-160tr-pr43301659,"Căn hộ Conic Boulevard liền kề Võ Văn Kiệt, Chỉ TT 400tr nhận nhà, giá CĐT, CK 17%, Tặng NT 160tr","Dự án Conic Boulevard, Đường Huỳnh Bá Chánh, Xã Tân Kiên, Bình Chánh, Hồ Chí Minh",Nhà liền kề,"2,4 tỷ","~28,24 triệu/m²",2 phòng,,85 m²,,,,,,,Hợp đồng mua bán,10.7061389208829,106.60023603924,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lo-lu-phuong-truong-thanh-prj-chung-cu-elysian/-thu-duc-gio-hang-noi-bo-cdt-06-2025-cam-ket-ck-cao-nhat-tang-5-nam-pql-bao-thue-phi-so-pr43196674,Elysian Thủ Đức 06/2025. Giá thật! Trực tiếp CĐT-Cam kết CK cao nhất. Tặng 5 năm PQL - Bao thuế phí,"Dự án Elysian, Đường Lò Lu, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",Căn hộ chung cư,"2,36 tỷ","~62,1 triệu/m²",1 phòng,Quận 9,38 m²,,,,,,,Hợp đồng mua bán,10.82664393987876,106.81873896864296,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/quan-ly-nhieu-vinmes-gia-tot-1pn-5-ty-2pn-7-2-ty-3pn-11-3-ty-4pn-17-ty-pr43272211,"Quản lý nhiều căn hộ Vinhomes Central Park giá tốt 1PN=5 tỷ, 2PN=7.2 tỷ, 3PN=11.3 tỷ, 4PN=17 tỷ","Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",Căn hộ,17 tỷ,"~109,68 triệu/m²",4 phòng,Bình Thạnh,155 m²,,,Đông - Bắc,Tây - Nam,,,Sổ đỏ/ Sổ hồng,10.7949285507202,106.720741271973,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-vong-cung-phuong-thu-thiem-prj-the-opera-residence/cap-nhat-gia-ban-moi-nhat-1pn-12-ty-2pn-16ty-3pn-50ty-4pn-70-ty-pr42686791,"Cập nhật giá bán mới nhất(1PN:12tỷ)(2PN:16tỷ)(3PN:30tỷ)(4PN:70tỷ)giá cập nhật 24/7, xem nhà nhanh","Dự án The Opera Residence, Đường Đại Lộ Vòng Cung, Phường Thủ Thiêm, Quận 2, Hồ Chí Minh",Căn hộ chung cư,16 tỷ,"~228,57 triệu/m²",2 phòng,Quận 2,70 m²,,,,,,,,10.7722363143738,106.713749135456,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-vong-cung-phuong-thu-thiem-prj-the-opera-residence/nam-full-gio-hang-ban-tai-metropole-1pn2pn3pn4pn-moi-nhat-cam-ket-gia-re-nhat-thi-truong-pr43277977,Nắm full giỏ hàng bán tại Opera-Metropole 1PN-2PN-3PN-4PN mới nhất. Cam kết giá rẻ nhất thị trường,"The Opera Residence, Đại Lộ Vòng Cung, Thủ Thiêm, Quận 2, Hồ Chí Minh",Căn hộ chung cư,20 tỷ,"~285,71 triệu/m²",2 phòng,Quận 2,70 m²,,,,,,,Sổ đỏ/ Sổ hồng,10.7724072478931,106.71428247525,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-nha-mat-pho-duong-cong-hoa-phuong-13-10-prj-etown-building/ha-gia-chi-con-57-ty-ban-gap-toa-khach-san-tien-hoa-pr43300581,Hạ Giá chỉ còn 57 tỷ - Bán gấp Tòa nhà khách sạn Mặt Tiền Cộng Hòa,"440 Cộng Hòa, 13, Tân Bình, Hồ Chí Minh",Nhà mặt phố,57 tỷ,"~398,6 triệu/m²",30 phòng,Tân Bình,143 m²,,,,,10 tầng,,Sổ đỏ/ Sổ hồng,10.801495556479251,106.6481910342539,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-vong-cung-phuong-thu-thiem-prj-the-opera-residence/em-nhi-quan-ly-full-gio-hang-ban-1pn-12ty-2pn-19ty-3pn-29ty-4pn-75-ty-pr43247333,Em Nhi quản lý full giỏ hàng căn bán Opera (1PN - 12tỷ)(2PN - 19.9tỷ)(3PN - 29tỷ)(4PN - 75 tỷ),"The Opera Residence, Đại Lộ Vòng Cung, Thủ Thiêm, Quận 2, Hồ Chí Minh",Căn hộ chung cư,"19,9 tỷ","~284,29 triệu/m²",2 phòng,Quận 2,70 m²,,,,,,,Hợp đồng mua bán,10.7726908236228,106.713696662038,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lo-lu-phuong-truong-thanh-prj-chung-cu-elysian/ro-si-dot-1-du-an-gia-53-trieu-m2-102-toan-theo-tien-do-den-t11-28-chiet-khau-8-pr43299653,Rổ sỉ đợt 1 dự án Elysian giá 53 triệu/m2 (102%). Thanh toán theo tiến độ đến T11/28. Chiết khấu 8%,"Dự án Elysian, Đường Lò Lu, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",Căn hộ chung cư,"4,2 tỷ","~52,5 triệu/m²",2 phòng,Quận 9,80 m²,,,,,,,,10.82564860511108,106.818867840742,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phuoc-thien-phuong-long-binh-3-prj-the-origami-vinhomes-grand-park/-dot-chay-thi-truong-ck-25-thanh-toan-480-ngay-2pn-gia-2-650-ty-tang-noi-that-250tr-pr42554605,"Origami đốt cháy thị trường ck 25%, thanh toán 480 ngày, căn 2PN giá 2.650 tỷ, tặng nội thất 250tr","Dự án The Origami, Đường Phước Thiện, Phường Long Bình, Quận 9, Hồ Chí Minh",Căn hộ chung cư,"2,65 tỷ","~44,92 triệu/m²",2 phòng,Quận 9,59 m²,,,,,,,,10.8432080432686,106.843076353938,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-huynh-ba-chanh-xa-tan-kien-prj-conic-boulevard/-gia-2-6ty-85m2-2pn2wc-gom-vat-tt-25-nhan-nha-tra-1-thang-khong-vay-bank-pr42309814,"Conic Bình Chánh: Chỉ cần 400tr nhận nhà, nhận sổ ngay, căn 85m2 (2PN2WC), mỗi tháng góp 12.5tr","Dự án Conic Boulevard, Đường Huỳnh Bá Chánh, Xã Tân Kiên, Bình Chánh, Hồ Chí Minh",Căn hộ chung cư,"2,45 tỷ","~28,82 triệu/m²",2 phòng,,85 m²,,,,,,,Hợp đồng mua bán,10.706771069503722,106.5999456756353,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-dat-duong-quoc-lo-22-xa-xuan-thoi-dong/chinh-chu-ban-khuon-vien-2585-m2-hai-mat-tien-truoc-sau-gia-thuong-luong-pr43222953,"CC bán đất 2585 m2, 2 mặt tiền trước sau, có khách muốn thuê dài hạn 150 tr/tháng, giá: 25 tr/m2","Đường Quốc Lộ 22, Xã Xuân Thới Đông, Hóc Môn, Hồ Chí Minh",Đất,25 triệu/m²,"~64,62 tỷ",,,2.585 m²,27 m,60 m,,,,,Sổ đỏ/ Sổ hồng.,10.8608889240347,106.603160937173,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-thi-ha-xa-tan-xuan-5/2667m2-2-tien-30x80m-gia-93-ty-hdt-280tr-tng-pr43299270,"2667m2 2 Mặt Tiền Lê Thị Hà, 30x80m giá 93 tỷ, HĐT 280tr/tháng","Đường Lê Thị Hà, Xã Tân Xuân, Hóc Môn, Hồ Chí Minh",Nhà mặt phố,93 tỷ,"~34,87 triệu/m²",,,2.667 m²,,,,,,,,10.8804009390757,106.599366257521,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-phuoc-long-b-prj-the-garland/-song-lap-full-noi-that-cao-cap-khu-quan-9-pr43298969,"Biệt thự song lập Full nội thất cao cấp, khu Garland, Quận 9","Dự án The Garland, Phường Phước Long B, Quận 9, Hồ Chí Minh",Biệt thự,22 tỷ,"~125,36 triệu/m²",4 phòng,Quận 9,"175,5 m²",,,,,3 tầng,,Sổ đỏ/ Sổ hồng,10.815778159409403,106.7847124357766,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-n1-phuong-son-ky-prj-diamond-centery/em-thu-nhan-vien-cdt-chuyen-ro-hang-moi-ban-lai-celadon-city-a-c-biet-gia-va-chon-inbox-em-pr42979161,Em Thư nhân viên CĐT chuyên rổ hàng tất cả các khu Celadon City A/C cần biết giá chọn căn inbox em,"Dự án Diamond Centery Celadon City, Đường N1, Phường Sơn Kỳ, Tân Phú, Hồ Chí Minh",Căn hộ chung cư,"7,5 tỷ","~61,98 triệu/m²",3 phòng,,121 m²,,,,,,,Hợp đồng mua bán,10.8040038094963,106.61740405485,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-thanh-my-prj-vinhomes-grand-park/-ban-gap-3pn-vinme-q9-view-song-tang-mat-gia-2-7-ty-re-nhat-thi-truong-pr42749757,Cần bán gấp căn hộ 3PN Vinhomes Q9 view sông thoáng mát 2.7 tỷ,"Dự án Vinhomes Grand Park, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",Căn hộ,"2,7 tỷ","~33,75 triệu/m²",3 phòng,Quận 9,80 m²,,,,,,,,10.8413277315434,106.840440011106,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/chinh-chu-ket-tien-ban-gap-di-dinh-1pn4ty5-2pn6ty8-3pn11ty-4pn17ty-park-pr42730232,"Chính chủ Kẹt tiền bán gấp đi định cư 1PN 4tỷ5, 2PN 6tỷ8, 3PN 11tỷ, 4PN 17tỷ Vinhomes Central Park","Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",Căn hộ chung cư,"6,8 tỷ",~80 triệu/m²,2 phòng,Bình Thạnh,85 m²,,,Đông,Nam,,,,10.79446405791,106.720868443551,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-dat-duong-long-phuoc-phuong-long-phuoc-2/ban-1000m2-vuon-biet-thu-nhua-6m-thu-duc-gia-chi-18-ty-pr43060717,"Bán 1000m2 đất vườn biệt thự, đường nhựa 6m, Long Phước, Thủ Đức giá chỉ 18 tỷ","Đường Long Phước, Phường Long Phước, Quận 9, Hồ Chí Minh",Biệt thự,18 tỷ,~18 triệu/m²,,Quận 9,1.000 m²,17 m,6 m,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,10.8073073426314,106.859070744971,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-dat-duong-linh-dong-phuong-linh-dong/ban-nha-mat-tien-kinh-doanh-dang-cho-thue-40-trieu-thang-chieu-ngang-10m-pr42852506,"Bán đất mặt tiền kinh doanh, đường Linh Đông, đang cho thuê 40 triệu/tháng. Chiều ngang 10m","Đường Linh Đông, Phường Linh Đông, Thủ Đức, Hồ Chí Minh",Đất,39 tỷ,"~108,33 triệu/m²",2 phòng,Thủ Đức,360 m²,10 m,15 m,Đông,Đông,1 tầng,,Sổ đỏ/ Sổ hồng.,10.8492306060369,106.746941515842,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-nha-mat-pho-duong-so-2-phuong-truong-tho-2/ban-tien-kinh-doanh-2-thon-thu-duc-20m-gia-chi-7-5-ty-pr43016678,"Bán nhà mặt tiền kinh doanh đường số 2, Trường Thọ, Thủ Đức, đường 20m, giá chỉ 7,5 tỷ","Đường Số 2, Phường Trường Thọ, Thủ Đức, Hồ Chí Minh",Nhà mặt phố,"7,5 tỷ",~150 triệu/m²,2 phòng,Thủ Đức,50 m²,"4,4 m",20 m,Đông - Bắc,Đông - Bắc,3 tầng,,Sổ đỏ/ Sổ hồng.,10.8351197098053,106.753793046826,Thành phố Hồ Chí Minh
https://batdongsan.com.vn/ban-dat-duong-so-27-phuong-hiep-binh-chanh/ban-biet-thu-200m2-khu-ben-song-thu-duc-gia-re-pr43021501,"Bán đất biệt thự 200m2, khu bên sông, Hiệp Bình Chánh, Thủ Đức giá rẻ","Đường Số 27, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",Biệt thự,"16,5 tỷ","~82,5 triệu/m²",,Thủ Đức,200 m²,"9,5 m",15 m,Tây - Nam,,,,Sổ đỏ/ Sổ hồng.,10.8325805093905,106.732289416061,Thành phố Hồ Chí Minh
